"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","Industry","Summary Quote",
"MMM","3M Company","78.74","56146974320","n/a","Health Care","Medical/Dental Instruments","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=MMM&selected=MMM",
"PAR","3PAR Inc","10.65","661066800","1986","Technology","Electronic Components","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=PAR&selected=PAR",
"SVN","7 Days Group Holdings Limited","11.87","137870050","2009","Consumer Services","Hotels/Resorts","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SVN&selected=SVN",
"NDN","99 Cents Only Stores","14.83","1032687050","1996","Consumer Services","Department/Specialty Retail Stores","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=NDN&selected=NDN",
"AHC","A.H. Belo Corporation","7.06","129508640","n/a","Consumer Services","Newspapers/Magazines","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AHC&selected=AHC",
"AIR","AAR Corp.","18.87","736401750","n/a","Capital Goods","Aerospace","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AIR&selected=AIR",
"AAN","Aaron's,  Inc.","20.1","1403985000","n/a","Technology","Diversified Commercial Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AAN&selected=AAN",
"AAN/A","Aaron's,  Inc.","15.85","184414750","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AAN/A&selected=AAN/A",
"ABB","ABB Ltd","17.18","4455306580","n/a","Consumer Durables","Electrical Products","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ABB&selected=ABB",
"ABT","Abbott Laboratories","47.48","73288466200","n/a","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ABT&selected=ABT",
"ANF","Abercrombie & Fitch Company","35.26","3109826220","1996","Consumer Services","Clothing/Shoe/Accessory Stores","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ANF&selected=ANF",
"ABM","ABM Industries Incorporated","21.81","1132331580","n/a","Finance","Diversified Commercial Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ABM&selected=ABM",
"ABVT","Abovenet Inc","46.18","1160503400","n/a","Consumer Services","Telecommunications Equipment","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ABVT&selected=ABVT",
"AKR","Acadia Realty Trust","18.27","732992400","n/a","Consumer Services","Real Estate Investment Trusts","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AKR&selected=AKR",
"ACN","Accenture plc.","36.83","23461299280","1986","Miscellaneous","Business Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACN&selected=ACN",
"ABD","Acco Brands Corporation","6.74","369345260","1987","Consumer Durables","Publishing","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ABD&selected=ABD",
"AH","Accretive Health, Inc.","13.1","0","2010","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AH&selected=AH",
"ACE","Ace Limited","49.33","16706147130","n/a","Finance","Property-Casualty Insurers","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACE&selected=ACE",
"ATV","Acorn International, Inc.","3.98","48289340","2007","Consumer Services","Other Specialty Stores","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ATV&selected=ATV",
"ATU","Actuant Corporation","20.16","1369327680","n/a","Technology","Industrial Machinery/Components","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ATU&selected=ATU",
"AYI","Acuity Brands Inc","41.09","1787209550","n/a","Consumer Durables","Building Products","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AYI&selected=AYI",
"ADX","Adams Express Company (The)","9.79","843731570","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ADX&selected=ADX",
"ASF","Administaff, Inc.","23.82","623131200","1997","Technology","Professional Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ASF&selected=ASF",
"PVD","Administradora de Fondos de Pensiones-Provida, S.A.","42.48","219239280","1994","Finance","Property-Casualty Insurers","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=PVD&selected=PVD",
"AEA","Advance America, Cash Advance Centers, Inc.","4.48","278624640","2004","Finance","Finance: Consumer Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AEA&selected=AEA",
"AAP","Advance Auto Parts Inc","51.35","4511251550","1993","Consumer Services","Other Specialty Stores","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AAP&selected=AAP",
"AMD","Advanced Micro Devices, Inc.","8.54","5750537100","1972","Technology","Semiconductors","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AMD&selected=AMD",
"ASX","Advanced Semiconductor Engineering, Inc.","4.21","205140670","1996","Technology","Semiconductors","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ASX&selected=ASX",
"AAV","Advantage Oil & Gas Ltd","6.29","1023672340","n/a","Energy","Oil & Gas Production","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AAV&selected=AAV",
"ATE","Advantest Corporation (Kabushiki Kaisha Advantest) ADS","22.106","42620368","n/a","Technology","Semiconductors","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ATE&selected=ATE",
"AGC","Advent Claymore Convertible Securities and Income Fund","8.5","270878000","2007","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AGC&selected=AGC",
"AVK","Advent Claymore Convertible Securities and Income Fund","15.87","374230470","2003","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AVK&selected=AVK",
"LCM","Advent/Claymore Enhanced Growth & Income Fund","10.76","146368280","2005","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=LCM&selected=LCM",
"ACM","Aecom Technology Corporation","25.07","2875353510","2007","Consumer Services","Military/Government/Technical","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACM&selected=ACM",
"ANW","Aegean Marine Petroleum Network Inc.","23.03","990497270","2006","Energy","Oil Refining/Marketing","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ANW&selected=ANW",
"AEB","Aegon NV","16.99","0","n/a","Finance","Life Insurance","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AEB&selected=AEB",
"AED","Aegon NV","16.86","337200000","1995","Finance","Life Insurance","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AED&selected=AED",
"AEF","Aegon NV","19.14","765600000","1990","Finance","Life Insurance","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AEF&selected=AEF",
"AEG","Aegon NV","5.79","1025652180","n/a","Finance","Life Insurance","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AEG&selected=AEG",
"AEH","Aegon NV","16.8","621600000","n/a","Finance","Life Insurance","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AEH&selected=AEH",
"AEV","Aegon NV","17.92","358400000","n/a","Finance","Life Insurance","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AEV&selected=AEV",
"AER","Aercap Holdings N.V.","12","1020444000","2006","Technology","Diversified Commercial Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AER&selected=AER",
"ARO","Aeropostale Inc","28.39","2653556520","2002","Consumer Services","Clothing/Shoe/Accessory Stores","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ARO&selected=ARO",
"AET","Aetna Inc.","29.61","12581289000","n/a","Health Care","Medical Specialities","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AET&selected=AET",
"AMG","Affiliated Managers Group, Inc.","71.05","3165206450","1997","Finance","Investment Managers","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AMG&selected=AMG",
"AFL","Aflac Incorporated","44.64","20961292320","n/a","Finance","Accident &Health Insurance","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AFL&selected=AFL",
"AGCO","AGCO Corporation","28.43","2644786040","n/a","Capital Goods","Industrial Machinery/Components","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AGCO&selected=AGCO",
"A","Agilent Technologies, Inc.","32.22","11212560000","1999","Capital Goods","Electrical Products","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=A&selected=A",
"AGL","AGL Resources, Inc.","36.66","2853944340","n/a","Public Utilities","Oil/Gas Transmission","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AGL&selected=AGL",
"AEM","Agnico-Eagle Mines Limited","59.85","9379332900","n/a","Basic Industries","Precious Metals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AEM&selected=AEM",
"ADC","Agree Realty Corporation","24.28","236827120","1994","Consumer Services","Real Estate Investment Trusts","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ADC&selected=ADC",
"GRO","Agria Corporation","1.59","38819850","2007","Consumer Non-Durables","Farming/Seeds/Milling","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=GRO&selected=GRO",
"AGU","Agrium Inc.","55.34","8701827620","n/a","Basic Industries","Agricultural Chemicals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AGU&selected=AGU",
"APD","Air Products and Chemicals, Inc.","69.12","14677839360","n/a","Basic Industries","Major Chemicals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=APD&selected=APD",
"AYR","Aircastle Limited","9.41","748471400","2006","Technology","Diversified Commercial Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AYR&selected=AYR",
"ARG","Airgas, Inc.","62.8","5241916000","1971","Capital Goods","Industrial Machinery/Components","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ARG&selected=ARG",
"AAI","AirTran Holdings, Inc.","5.9","798010400","n/a","Transportation","Air Freight/Delivery Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AAI&selected=AAI",
"AKS","AK Steel Holding Corporation","14.94","1642025520","n/a","Basic Industries","Steel/Iron Ore","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AKS&selected=AKS",
"ABA","Alabama Power Company","26.37","158220000","n/a","Public Utilities","Electric Utilities: Central","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ABA&selected=ABA",
"ALF","Alabama Power Company","25.31","1557805190","1994","Public Utilities","Electric Utilities: Central","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALF&selected=ALF",
"ALM","Alabama Power Company","25.62","256200000","n/a","Public Utilities","Electric Utilities: Central","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALM&selected=ALM",
"ALP^N","Alabama Power Company","24.47","137252230","n/a","Public Utilities","Electric Utilities: Central","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALP^N&selected=ALP^N",
"ALP^O","Alabama Power Company","25.14","38212800","n/a","Public Utilities","Electric Utilities: Central","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALP^O&selected=ALP^O",
"ALP^P","Alabama Power Company","24.8","99200000","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALP^P&selected=ALP^P",
"ALQ","Alabama Power Company","25.51","102040000","n/a","Public Utilities","Electric Utilities: Central","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALQ&selected=ALQ",
"ALZ","Alabama Power Company","25.27","20216000","n/a","Public Utilities","Electric Utilities: Central","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALZ&selected=ALZ",
"ALG","Alamo Group, Inc.","23.13","271754370","1993","Capital Goods","Industrial Machinery/Components","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALG&selected=ALG",
"ALK","Alaska Air Group, Inc.","49.93","1785846310","n/a","Transportation","Air Freight/Delivery Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALK&selected=ALK",
"AIN","Albany International Corporation","19.35","537678450","n/a","Basic Industries","Textiles","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AIN&selected=AIN",
"ALB","Albemarle Corporation","42.85","3916318600","n/a","Basic Industries","Major Chemicals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALB&selected=ALB",
"ACV","Alberto-Culver Company","27.55","2713757650","n/a","Consumer Non-Durables","Package Goods/Cosmetics","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACV&selected=ACV",
"ALU","Alcatel Lucent","2.6","1830662600","1989","Public Utilities","Telecommunications Equipment","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALU&selected=ALU",
"AA","Alcoa Inc.","11.48","11721309600","n/a","Capital Goods","Metal Fabrications","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AA&selected=AA",
"ACL","Alcon Inc","142.45","42671039950","2002","Health Care","Ophthalmic Goods","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACL&selected=ACL",
"ALEX","Alexander & Baldwin, Inc.","31.66","1301669240","n/a","Consumer Services","Marine Transportation","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALEX&selected=ALEX",
"ALX","Alexander's, Inc.","322.98","1649135880","n/a","Consumer Services","Real Estate Investment Trusts","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALX&selected=ALX",
"ARE","Alexandria Real Estate Equities, Inc.","65.82","2915694360","1997","Consumer Services","Real Estate Investment Trusts","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ARE&selected=ARE",
"ARE^C","Alexandria Real Estate Equities, Inc.","25.58","132657880","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ARE^C&selected=ARE^C",
"Y","Alleghany Corporation","293.15","2644799300","n/a","Finance","Property-Casualty Insurers","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=Y&selected=Y",
"AYE","Allegheny Energy, Inc.","20.21","3427191590","n/a","Public Utilities","Electric Utilities: Central","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AYE&selected=AYE",
"ATI","Allegheny Technologies Incorporated","52.73","5196119660","n/a","Basic Industries","Steel/Iron Ore","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ATI&selected=ATI",
"AGN","Allergan, Inc.","59.87","18205509080","n/a","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AGN&selected=AGN",
"ALE","Allete, Inc.","34.36","1219780000","n/a","Public Utilities","Power Generation","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALE&selected=ALE",
"AKP","Alliance California Municipal Income Fund Inc","13.69","116871530","2002","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AKP&selected=AKP",
"AB","Alliance Capital Management Holding L.P.","28.48","2909545280","n/a","Finance","Investment Managers","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AB&selected=AB",
"ACG","Alliance Capital Management Holding L.P.","7.88","1789343120","1987","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACG&selected=ACG",
"ADS","Alliance Data Systems Corporation","70.42","3756977420","2001","Miscellaneous","Business Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ADS&selected=ADS",
